,AttackID,ThreatID,Interaction,Category,Description,Title,RepeatedElseWhere,RepeatedInCategory,Effect,IFlag,Source,SourceType,Destination,DestinationType
11,12,797,recCommandDoneHxRc(),Tampering,Data flowing across recCommandDoneHxRc() may be tampered with by an attacker. This may lead to a denial of service attack against RemoteController or an elevation of privilege attack against RemoteController or an information disclosure by RemoteController. Failure to verify that input is as expected is a root cause of a very large number of exploitable issues. Consider all paths and the way they handle data. Verify that all input is verified for correctness using an approved list input validation approach.,Potential Lack of Input Validation for RemoteController,False,False,Data Flow Sniffing,1,HX01,GE.P,RemoteController,GE.P
12,13,527,senCommandRcHx(selfStatus; selfUserId),Elevation Of Privilege,RemoteController may be able to impersonate the context of RemoteController in order to gain additional privilege.,Elevation Using Impersonation,False,False,impersonate,1,RemoteController,GE.P,RemoteController,GE.P
13,14,796,recCommandDoneHxRc(),Spoofing,RemoteController may be spoofed by an attacker and this may lead to information disclosure by HX01. Consider using a standard authentication mechanism to identify the destination process.,Spoofing the RemoteController Process,False,False,Information not intended for disclosure,1,HX01,GE.P,RemoteController,GE.P
14,15,535,senCommandFcHx(),Elevation Of Privilege,FleetController may be able to impersonate the context of RemoteController in order to gain additional privilege.,Elevation Using Impersonation,False,False,impersonate,2,RemoteController,GE.P,FleetController,GE.P
15,16,796,recCommandDoneHxRc(),Spoofing,RemoteController may be spoofed by an attacker and this may lead to information disclosure by HX01. Consider using a standard authentication mechanism to identify the destination process.,Spoofing the RemoteController Process,False,False,Data Flow Sniffing,1,HX01,GE.P,RemoteController,GE.P
16,17,539,senTakeControlReqRcFc(),Elevation Of Privilege,RemoteController may be able to impersonate the context of RemoteController in order to gain additional privilege.,Elevation Using Impersonation,False,False,impersonate,1,RemoteController,GE.P,RemoteController,GE.P
17,18,552,senCommandDoneRcHro(),Elevation Of Privilege,RemoteController may be able to impersonate the context of RemoteController in order to gain additional privilege.,Elevation Using Impersonation,False,False,impersonate,1,RemoteController,GE.P,RemoteController,GE.P
18,19,787,recReturnControllRcFc(),Tampering,Data flowing across recReturnControllRcFc() may be tampered with by an attacker. This may lead to a denial of service attack against FleetController or an elevation of privilege attack against FleetController or an information disclosure by FleetController. Failure to verify that input is as expected is a root cause of a very large number of exploitable issues. Consider all paths and the way they handle data. Verify that all input is verified for correctness using an approved list input validation approach.,Potential Lack of Input Validation for FleetController,False,False,Information not intended for disclosure,1,RemoteController,GE.P,FleetController,GE.P
19,20,559,senCurentStatusRcHro(selfStatus),Elevation Of Privilege,RemoteController may be able to impersonate the context of RemoteController in order to gain additional privilege.,Elevation Using Impersonation,False,False,impersonate,1,RemoteController,GE.P,RemoteController,GE.P
20,21,787,recReturnControllRcFc(),Tampering,Data flowing across recReturnControllRcFc() may be tampered with by an attacker. This may lead to a denial of service attack against FleetController or an elevation of privilege attack against FleetController or an information disclosure by FleetController. Failure to verify that input is as expected is a root cause of a very large number of exploitable issues. Consider all paths and the way they handle data. Verify that all input is verified for correctness using an approved list input validation approach.,Potential Lack of Input Validation for FleetController,False,False,Data Flow Sniffing,1,RemoteController,GE.P,FleetController,GE.P
21,22,560,senReturnControllRcFc(),Elevation Of Privilege,RemoteController may be able to impersonate the context of RemoteController in order to gain additional privilege.,Elevation Using Impersonation,False,False,impersonate,1,RemoteController,GE.P,RemoteController,GE.P
22,23,786,recReturnControllRcFc(),Spoofing,FleetController may be spoofed by an attacker and this may lead to information disclosure by RemoteController. Consider using a standard authentication mechanism to identify the destination process.,Spoofing the FleetController Process,False,False,Information not intended for disclosure,1,RemoteController,GE.P,FleetController,GE.P
23,24,786,recReturnControllRcFc(),Spoofing,FleetController may be spoofed by an attacker and this may lead to information disclosure by RemoteController. Consider using a standard authentication mechanism to identify the destination process.,Spoofing the FleetController Process,False,False,Data Flow Sniffing,1,RemoteController,GE.P,FleetController,GE.P
24,25,659,senCommandDoneHxFc(),Elevation Of Privilege,HX01 may be able to impersonate the context of HX01 in order to gain additional privilege.,Elevation Using Impersonation,False,False,impersonate,1,HX01,GE.P,HX01,GE.P
25,26,731,senCommandDoneHxRc(),Elevation Of Privilege,HX01 may be able to impersonate the context of HX01 in order to gain additional privilege.,Elevation Using Impersonation,False,False,impersonate,1,HX01,GE.P,HX01,GE.P
26,27,777,recCommandRcHx(command; userId),Tampering,"Data flowing across recCommandRcHx(command, userId) may be tampered with by an attacker. This may lead to a denial of service attack against HX01 or an elevation of privilege attack against HX01 or an information disclosure by HX01. Failure to verify that input is as expected is a root cause of a very large number of exploitable issues. Consider all paths and the way they handle data. Verify that all input is verified for correctness using an approved list input validation approach.",Potential Lack of Input Validation for HX01,False,False,Information not intended for disclosure,1,RemoteController,GE.P,HX01,GE.P
27,28,777,recCommandRcHx(command; userId),Tampering,"Data flowing across recCommandRcHx(command, userId) may be tampered with by an attacker. This may lead to a denial of service attack against HX01 or an elevation of privilege attack against HX01 or an information disclosure by HX01. Failure to verify that input is as expected is a root cause of a very large number of exploitable issues. Consider all paths and the way they handle data. Verify that all input is verified for correctness using an approved list input validation approach.",Potential Lack of Input Validation for HX01,False,False,Data Flow Sniffing,1,RemoteController,GE.P,HX01,GE.P
28,29,774,senCommandFcHx(),Elevation Of Privilege,"Cross-site request forgery (CSRF or XSRF) is a type of attack in which an attacker forces a user's browser to make a forged request to a vulnerable site by exploiting an existing trust relationship between the browser and the vulnerable web site.  In a simple scenario, a user is logged in to web site A using a cookie as a credential.  The other browses to web site B.  Web site B returns a page with a hidden form that posts to web site A.  Since the browser will carry the user's cookie to web site A, web site B now can take any action on web site A, for example, adding an admin to an account.  The attack can be used to exploit any requests that the browser automatically authenticates, e.g. by session cookie, integrated authentication, IP whitelisting. The attack can be carried out in many ways such as by luring the victim to a site under control of the attacker, getting the user to click a link in a phishing email, or hacking a reputable web site that the victim will visit. The issue can only be resolved on the server side by requiring that all authenticated state-changing requests include an additional piece of secret payload (canary or CSRF token) which is known only to the legitimate web site and the browser and which is protected in transit through SSL/TLS. See the Forgery Protection property on the flow stencil for a list of mitigations.",Cross Site Request Forgery,False,False,Cross-site request forgery,2,RemoteController,GE.P,FleetController,GE.P
29,30,773,senCommandFcHx(),Elevation Of Privilege,An attacker may pass data into FleetController in order to change the flow of program execution within FleetController to the attacker's choosing.,Elevation by Changing the Execution Flow in FleetController,False,False,change the flow of program execution,2,RemoteController,GE.P,FleetController,GE.P
30,31,776,recCommandRcHx(command; userId),Spoofing,HX01 may be spoofed by an attacker and this may lead to information disclosure by RemoteController. Consider using a standard authentication mechanism to identify the destination process.,Spoofing the HX01 Process,False,False,Information not intended for disclosure,1,RemoteController,GE.P,HX01,GE.P
31,32,772,senCommandFcHx(),Elevation Of Privilege,RemoteController may be able to remotely execute code for FleetController.,FleetController May be Subject to Elevation of Privilege Using Remote Code Execution,False,False,remotely execute code,2,RemoteController,GE.P,FleetController,GE.P
32,33,776,recCommandRcHx(command; userId),Spoofing,HX01 may be spoofed by an attacker and this may lead to information disclosure by RemoteController. Consider using a standard authentication mechanism to identify the destination process.,Spoofing the HX01 Process,False,False,Data Flow Sniffing,1,RemoteController,GE.P,HX01,GE.P
33,34,513,recCurentStatusFcSs(status),Tampering,Data flowing across recCurentStatusFcSs(status) may be tampered with by an attacker. This may lead to a denial of service attack against SiteServer or an elevation of privilege attack against SiteServer or an information disclosure by SiteServer. Failure to verify that input is as expected is a root cause of a very large number of exploitable issues. Consider all paths and the way they handle data. Verify that all input is verified for correctness using an approved list input validation approach.,Potential Lack of Input Validation for SiteServer,False,False,Information not intended for disclosure,1,FleetController,GE.P,SiteServer,GE.P
34,35,771,senCommandFcHx(),Denial Of Service,An external agent interrupts data flowing across a trust boundary in either direction.,Data Flow senCommandFcHx() Is Potentially Interrupted,False,False,Interrupt data flowing,2,RemoteController,GE.P,FleetController,GE.P
35,36,770,senCommandFcHx(),Denial Of Service,"FleetController crashes, halts, stops or runs slowly; in all cases violating an availability metric.",Potential Process Crash or Stop for FleetController,False,False,Crashes,2,RemoteController,GE.P,FleetController,GE.P
36,37,513,recCurentStatusFcSs(status),Tampering,Data flowing across recCurentStatusFcSs(status) may be tampered with by an attacker. This may lead to a denial of service attack against SiteServer or an elevation of privilege attack against SiteServer or an information disclosure by SiteServer. Failure to verify that input is as expected is a root cause of a very large number of exploitable issues. Consider all paths and the way they handle data. Verify that all input is verified for correctness using an approved list input validation approach.,Potential Lack of Input Validation for SiteServer,False,False,Data Flow Sniffing,1,FleetController,GE.P,SiteServer,GE.P
37,38,769,senCommandFcHx(),Information Disclosure,"Data flowing across senCommandFcHx() may be sniffed by an attacker. Depending on what type of data an attacker can read, it may be used to attack other parts of the system or simply be a disclosure of information leading to compliance violations. Consider encrypting the data flow.",Data Flow Sniffing,False,False,Data Flow Sniffing,2,RemoteController,GE.P,FleetController,GE.P
38,39,512,recCurentStatusFcSs(status),Spoofing,SiteServer may be spoofed by an attacker and this may lead to information disclosure by FleetController. Consider using a standard authentication mechanism to identify the destination process.,Spoofing the SiteServer Process,False,False,Information not intended for disclosure,1,FleetController,GE.P,SiteServer,GE.P
39,40,512,recCurentStatusFcSs(status),Spoofing,SiteServer may be spoofed by an attacker and this may lead to information disclosure by FleetController. Consider using a standard authentication mechanism to identify the destination process.,Spoofing the SiteServer Process,False,False,Data Flow Sniffing,1,FleetController,GE.P,SiteServer,GE.P
40,41,768,senCommandFcHx(),Repudiation,"FleetController claims that it did not receive data from a source outside the trust boundary. Consider using logging or auditing to record the source, time, and summary of the received data.",Potential Data Repudiation by FleetController,False,False,Data Repudiation,2,RemoteController,GE.P,FleetController,GE.P
41,42,767,senCommandFcHx(),Tampering,Data flowing across senCommandFcHx() may be tampered with by an attacker. This may lead to a denial of service attack against FleetController or an elevation of privilege attack against FleetController or an information disclosure by FleetController. Failure to verify that input is as expected is a root cause of a very large number of exploitable issues. Consider all paths and the way they handle data. Verify that all input is verified for correctness using an approved list input validation approach.,Potential Lack of Input Validation for FleetController,True,Denial Of Service,False,2,RemoteController,GE.P,FleetController,GE.P
42,43,609,recKeepControllFcRc(),Tampering,Data flowing across recKeepControllFcRc() may be tampered with by an attacker. This may lead to a denial of service attack against RemoteController or an elevation of privilege attack against RemoteController or an information disclosure by RemoteController. Failure to verify that input is as expected is a root cause of a very large number of exploitable issues. Consider all paths and the way they handle data. Verify that all input is verified for correctness using an approved list input validation approach.,Potential Lack of Input Validation for RemoteController,False,False,Information not intended for disclosure,1,FleetController,GE.P,RemoteController,GE.P
43,44,609,recKeepControllFcRc(),Tampering,Data flowing across recKeepControllFcRc() may be tampered with by an attacker. This may lead to a denial of service attack against RemoteController or an elevation of privilege attack against RemoteController or an information disclosure by RemoteController. Failure to verify that input is as expected is a root cause of a very large number of exploitable issues. Consider all paths and the way they handle data. Verify that all input is verified for correctness using an approved list input validation approach.,Potential Lack of Input Validation for RemoteController,False,False,Data Flow Sniffing,1,FleetController,GE.P,RemoteController,GE.P
44,45,767,senCommandFcHx(),Tampering,Data flowing across senCommandFcHx() may be tampered with by an attacker. This may lead to a denial of service attack against FleetController or an elevation of privilege attack against FleetController or an information disclosure by FleetController. Failure to verify that input is as expected is a root cause of a very large number of exploitable issues. Consider all paths and the way they handle data. Verify that all input is verified for correctness using an approved list input validation approach.,Potential Lack of Input Validation for FleetController,True,Information Disclosure,False,2,RemoteController,GE.P,FleetController,GE.P
45,46,608,recKeepControllFcRc(),Spoofing,RemoteController may be spoofed by an attacker and this may lead to information disclosure by FleetController. Consider using a standard authentication mechanism to identify the destination process.,Spoofing the RemoteController Process,False,False,Information not intended for disclosure,1,FleetController,GE.P,RemoteController,GE.P
46,47,767,senCommandFcHx(),Tampering,Data flowing across senCommandFcHx() may be tampered with by an attacker. This may lead to a denial of service attack against FleetController or an elevation of privilege attack against FleetController or an information disclosure by FleetController. Failure to verify that input is as expected is a root cause of a very large number of exploitable issues. Consider all paths and the way they handle data. Verify that all input is verified for correctness using an approved list input validation approach.,Potential Lack of Input Validation for FleetController,True,Elevation Of Privilege,False,2,RemoteController,GE.P,FleetController,GE.P
47,48,766,senCommandFcHx(),Spoofing,FleetController may be spoofed by an attacker and this may lead to information disclosure by RemoteController. Consider using a standard authentication mechanism to identify the destination process.,Spoofing the FleetController Process,True,Information Disclosure,False,2,RemoteController,GE.P,FleetController,GE.P
48,49,608,recKeepControllFcRc(),Spoofing,RemoteController may be spoofed by an attacker and this may lead to information disclosure by FleetController. Consider using a standard authentication mechanism to identify the destination process.,Spoofing the RemoteController Process,False,False,Data Flow Sniffing,1,FleetController,GE.P,RemoteController,GE.P
49,50,757,recCurentStatusRcHx(status),Tampering,Data flowing across recCurentStatusRcHx(status) may be tampered with by an attacker. This may lead to a denial of service attack against HX01 or an elevation of privilege attack against HX01 or an information disclosure by HX01. Failure to verify that input is as expected is a root cause of a very large number of exploitable issues. Consider all paths and the way they handle data. Verify that all input is verified for correctness using an approved list input validation approach.,Potential Lack of Input Validation for HX01,False,False,Information not intended for disclosure,1,RemoteController,GE.P,HX01,GE.P
50,51,765,senCommandFcHx(),Spoofing,RemoteController may be spoofed by an attacker and this may lead to unauthorized access to FleetController. Consider using a standard authentication mechanism to identify the source process.,Spoofing the RemoteController Process,False,False,unauthorized access,2,RemoteController,GE.P,FleetController,GE.P
51,52,810,senCurentStatusSsSo(selfStatus),Elevation Of Privilege,SiteServer may be able to impersonate the context of SiteServer in order to gain additional privilege.,Elevation Using Impersonation,False,False,impersonate,1,SiteServer,GE.P,SiteServer,GE.P
52,53,757,recCurentStatusRcHx(status),Tampering,Data flowing across recCurentStatusRcHx(status) may be tampered with by an attacker. This may lead to a denial of service attack against HX01 or an elevation of privilege attack against HX01 or an information disclosure by HX01. Failure to verify that input is as expected is a root cause of a very large number of exploitable issues. Consider all paths and the way they handle data. Verify that all input is verified for correctness using an approved list input validation approach.,Potential Lack of Input Validation for HX01,False,False,Data Flow Sniffing,1,RemoteController,GE.P,HX01,GE.P
53,54,756,recCurentStatusRcHx(status),Spoofing,HX01 may be spoofed by an attacker and this may lead to information disclosure by RemoteController. Consider using a standard authentication mechanism to identify the destination process.,Spoofing the HX01 Process,False,False,Information not intended for disclosure,1,RemoteController,GE.P,HX01,GE.P
54,55,801,recCommandDoneHxRc(),Denial Of Service,An external agent interrupts data flowing across a trust boundary in either direction.,Data Flow recCommandDoneHxRc() Is Potentially Interrupted,False,False,Interrupt data flowing,1,HX01,GE.P,RemoteController,GE.P
55,56,756,recCurentStatusRcHx(status),Spoofing,HX01 may be spoofed by an attacker and this may lead to information disclosure by RemoteController. Consider using a standard authentication mechanism to identify the destination process.,Spoofing the HX01 Process,False,False,Data Flow Sniffing,1,RemoteController,GE.P,HX01,GE.P
56,57,800,recCommandDoneHxRc(),Denial Of Service,"RemoteController crashes, halts, stops or runs slowly; in all cases violating an availability metric.",Potential Process Crash or Stop for RemoteController,False,False,Crashes,1,HX01,GE.P,RemoteController,GE.P
57,58,747,recTakeControlReqRcFc(),Tampering,Data flowing across recTakeControlReqRcFc() may be tampered with by an attacker. This may lead to a denial of service attack against FleetController or an elevation of privilege attack against FleetController or an information disclosure by FleetController. Failure to verify that input is as expected is a root cause of a very large number of exploitable issues. Consider all paths and the way they handle data. Verify that all input is verified for correctness using an approved list input validation approach.,Potential Lack of Input Validation for FleetController,False,False,Information not intended for disclosure,1,RemoteController,GE.P,FleetController,GE.P
58,59,799,recCommandDoneHxRc(),Information Disclosure,"Data flowing across recCommandDoneHxRc() may be sniffed by an attacker. Depending on what type of data an attacker can read, it may be used to attack other parts of the system or simply be a disclosure of information leading to compliance violations. Consider encrypting the data flow.",Data Flow Sniffing,False,False,Data Flow Sniffing,1,HX01,GE.P,RemoteController,GE.P
59,60,747,recTakeControlReqRcFc(),Tampering,Data flowing across recTakeControlReqRcFc() may be tampered with by an attacker. This may lead to a denial of service attack against FleetController or an elevation of privilege attack against FleetController or an information disclosure by FleetController. Failure to verify that input is as expected is a root cause of a very large number of exploitable issues. Consider all paths and the way they handle data. Verify that all input is verified for correctness using an approved list input validation approach.,Potential Lack of Input Validation for FleetController,False,False,Data Flow Sniffing,1,RemoteController,GE.P,FleetController,GE.P
60,61,521,recCurentStatusFcSs(status),Elevation Of Privilege,"Cross-site request forgery (CSRF or XSRF) is a type of attack in which an attacker forces a user's browser to make a forged request to a vulnerable site by exploiting an existing trust relationship between the browser and the vulnerable web site.  In a simple scenario, a user is logged in to web site A using a cookie as a credential.  The other browses to web site B.  Web site B returns a page with a hidden form that posts to web site A.  Since the browser will carry the user's cookie to web site A, web site B now can take any action on web site A, for example, adding an admin to an account.  The attack can be used to exploit any requests that the browser automatically authenticates, e.g. by session cookie, integrated authentication, IP whitelisting. The attack can be carried out in many ways such as by luring the victim to a site under control of the attacker, getting the user to click a link in a phishing email, or hacking a reputable web site that the victim will visit. The issue can only be resolved on the server side by requiring that all authenticated state-changing requests include an additional piece of secret payload (canary or CSRF token) which is known only to the legitimate web site and the browser and which is protected in transit through SSL/TLS. See the Forgery Protection property on the flow stencil for a list of mitigations.",Cross Site Request Forgery,False,False,Cross-site request forgery,1,FleetController,GE.P,SiteServer,GE.P
61,62,746,recTakeControlReqRcFc(),Spoofing,FleetController may be spoofed by an attacker and this may lead to information disclosure by RemoteController. Consider using a standard authentication mechanism to identify the destination process.,Spoofing the FleetController Process,False,False,Information not intended for disclosure,1,RemoteController,GE.P,FleetController,GE.P
62,63,520,recCurentStatusFcSs(status),Elevation Of Privilege,An attacker may pass data into SiteServer in order to change the flow of program execution within SiteServer to the attacker's choosing.,Elevation by Changing the Execution Flow in SiteServer,False,False,change the flow of program execution,1,FleetController,GE.P,SiteServer,GE.P
63,64,465,recCommandFcHx(selfCommand; selfUserId),Elevation Of Privilege,HX01 may be able to impersonate the context of FleetController in order to gain additional privilege.,Elevation Using Impersonation,False,False,impersonate,1,FleetController,GE.P,HX01,GE.P
64,65,746,recTakeControlReqRcFc(),Spoofing,FleetController may be spoofed by an attacker and this may lead to information disclosure by RemoteController. Consider using a standard authentication mechanism to identify the destination process.,Spoofing the FleetController Process,False,False,Data Flow Sniffing,1,RemoteController,GE.P,FleetController,GE.P
65,66,737,recCurentStatusRcFc(status),Tampering,Data flowing across recCurentStatusRcFc(status) may be tampered with by an attacker. This may lead to a denial of service attack against FleetController or an elevation of privilege attack against FleetController or an information disclosure by FleetController. Failure to verify that input is as expected is a root cause of a very large number of exploitable issues. Consider all paths and the way they handle data. Verify that all input is verified for correctness using an approved list input validation approach.,Potential Lack of Input Validation for FleetController,False,False,Information not intended for disclosure,1,RemoteController,GE.P,FleetController,GE.P
66,67,798,recCommandDoneHxRc(),Repudiation,"RemoteController claims that it did not receive data from a source outside the trust boundary. Consider using logging or auditing to record the source, time, and summary of the received data.",Potential Data Repudiation by RemoteController,False,False,Data Repudiation,1,HX01,GE.P,RemoteController,GE.P
67,68,797,recCommandDoneHxRc(),Tampering,Data flowing across recCommandDoneHxRc() may be tampered with by an attacker. This may lead to a denial of service attack against RemoteController or an elevation of privilege attack against RemoteController or an information disclosure by RemoteController. Failure to verify that input is as expected is a root cause of a very large number of exploitable issues. Consider all paths and the way they handle data. Verify that all input is verified for correctness using an approved list input validation approach.,Potential Lack of Input Validation for RemoteController,True,Denial Of Service,False,1,HX01,GE.P,RemoteController,GE.P
68,69,737,recCurentStatusRcFc(status),Tampering,Data flowing across recCurentStatusRcFc(status) may be tampered with by an attacker. This may lead to a denial of service attack against FleetController or an elevation of privilege attack against FleetController or an information disclosure by FleetController. Failure to verify that input is as expected is a root cause of a very large number of exploitable issues. Consider all paths and the way they handle data. Verify that all input is verified for correctness using an approved list input validation approach.,Potential Lack of Input Validation for FleetController,False,False,Data Flow Sniffing,1,RemoteController,GE.P,FleetController,GE.P
69,70,797,recCommandDoneHxRc(),Tampering,Data flowing across recCommandDoneHxRc() may be tampered with by an attacker. This may lead to a denial of service attack against RemoteController or an elevation of privilege attack against RemoteController or an information disclosure by RemoteController. Failure to verify that input is as expected is a root cause of a very large number of exploitable issues. Consider all paths and the way they handle data. Verify that all input is verified for correctness using an approved list input validation approach.,Potential Lack of Input Validation for RemoteController,True,Information Disclosure,False,1,HX01,GE.P,RemoteController,GE.P
70,71,736,recCurentStatusRcFc(status),Spoofing,FleetController may be spoofed by an attacker and this may lead to information disclosure by RemoteController. Consider using a standard authentication mechanism to identify the destination process.,Spoofing the FleetController Process,False,False,Information not intended for disclosure,1,RemoteController,GE.P,FleetController,GE.P
71,72,797,recCommandDoneHxRc(),Tampering,Data flowing across recCommandDoneHxRc() may be tampered with by an attacker. This may lead to a denial of service attack against RemoteController or an elevation of privilege attack against RemoteController or an information disclosure by RemoteController. Failure to verify that input is as expected is a root cause of a very large number of exploitable issues. Consider all paths and the way they handle data. Verify that all input is verified for correctness using an approved list input validation approach.,Potential Lack of Input Validation for RemoteController,True,Elevation Of Privilege,False,1,HX01,GE.P,RemoteController,GE.P
72,73,736,recCurentStatusRcFc(status),Spoofing,FleetController may be spoofed by an attacker and this may lead to information disclosure by RemoteController. Consider using a standard authentication mechanism to identify the destination process.,Spoofing the FleetController Process,False,False,Data Flow Sniffing,1,RemoteController,GE.P,FleetController,GE.P
73,74,796,recCommandDoneHxRc(),Spoofing,RemoteController may be spoofed by an attacker and this may lead to information disclosure by HX01. Consider using a standard authentication mechanism to identify the destination process.,Spoofing the RemoteController Process,True,Information Disclosure,False,1,HX01,GE.P,RemoteController,GE.P
74,75,569,recGrantControllFcRc(),Tampering,Data flowing across recGrantControllFcRc() may be tampered with by an attacker. This may lead to a denial of service attack against RemoteController or an elevation of privilege attack against RemoteController or an information disclosure by RemoteController. Failure to verify that input is as expected is a root cause of a very large number of exploitable issues. Consider all paths and the way they handle data. Verify that all input is verified for correctness using an approved list input validation approach.,Potential Lack of Input Validation for RemoteController,False,False,Information not intended for disclosure,1,FleetController,GE.P,RemoteController,GE.P
75,76,461,recKeepControllFcRc(),Elevation Of Privilege,RemoteController may be able to impersonate the context of FleetController in order to gain additional privilege.,Elevation Using Impersonation,False,False,impersonate,1,FleetController,GE.P,RemoteController,GE.P
76,77,569,recGrantControllFcRc(),Tampering,Data flowing across recGrantControllFcRc() may be tampered with by an attacker. This may lead to a denial of service attack against RemoteController or an elevation of privilege attack against RemoteController or an information disclosure by RemoteController. Failure to verify that input is as expected is a root cause of a very large number of exploitable issues. Consider all paths and the way they handle data. Verify that all input is verified for correctness using an approved list input validation approach.,Potential Lack of Input Validation for RemoteController,False,False,Data Flow Sniffing,1,FleetController,GE.P,RemoteController,GE.P
77,78,568,recGrantControllFcRc(),Spoofing,RemoteController may be spoofed by an attacker and this may lead to information disclosure by FleetController. Consider using a standard authentication mechanism to identify the destination process.,Spoofing the RemoteController Process,False,False,Information not intended for disclosure,1,FleetController,GE.P,RemoteController,GE.P
78,79,795,recCommandDoneHxRc(),Spoofing,HX01 may be spoofed by an attacker and this may lead to unauthorized access to RemoteController. Consider using a standard authentication mechanism to identify the source process.,Spoofing the HX01 Process,False,False,unauthorized access,1,HX01,GE.P,RemoteController,GE.P
79,80,794,recReturnControllRcFc(),Elevation Of Privilege,"Cross-site request forgery (CSRF or XSRF) is a type of attack in which an attacker forces a user's browser to make a forged request to a vulnerable site by exploiting an existing trust relationship between the browser and the vulnerable web site.  In a simple scenario, a user is logged in to web site A using a cookie as a credential.  The other browses to web site B.  Web site B returns a page with a hidden form that posts to web site A.  Since the browser will carry the user's cookie to web site A, web site B now can take any action on web site A, for example, adding an admin to an account.  The attack can be used to exploit any requests that the browser automatically authenticates, e.g. by session cookie, integrated authentication, IP whitelisting. The attack can be carried out in many ways such as by luring the victim to a site under control of the attacker, getting the user to click a link in a phishing email, or hacking a reputable web site that the victim will visit. The issue can only be resolved on the server side by requiring that all authenticated state-changing requests include an additional piece of secret payload (canary or CSRF token) which is known only to the legitimate web site and the browser and which is protected in transit through SSL/TLS. See the Forgery Protection property on the flow stencil for a list of mitigations.",Cross Site Request Forgery,False,False,Cross-site request forgery,1,RemoteController,GE.P,FleetController,GE.P
80,81,568,recGrantControllFcRc(),Spoofing,RemoteController may be spoofed by an attacker and this may lead to information disclosure by FleetController. Consider using a standard authentication mechanism to identify the destination process.,Spoofing the RemoteController Process,False,False,Data Flow Sniffing,1,FleetController,GE.P,RemoteController,GE.P
